text	rating	language	title
"J'ai fait une demande d'ouverture de compte fin novembre 2024 en utilisant itsme pour m'identifier... Nous sommes 11 semaines plus tard et toujours RIEN !!!
Ceci est absolument intolérable et témoigne d'emblée d'un manque total de sérieux de cette ""banque"".
Donc, je ne ferai jamais rien avec eux, c'est mort !!!
A FUIR !!!"	1	fr	Ouverture de compte en attente depuis 11 semaines !!!
"Avant le rachat par le Crédit Agricole, il s'agissait d'une bonne banque.

Depuis lors, il n'y a plus aucune innovation, il y a des erreurs dans le calcul des intérêts des comptes épargnes, le service client est parfois compliqué à joindre et ne répond pas toujours par email.

Certains collaborateurs du service client sont en outre très désagréables. J'ai eu quelqu'un il y a cinq minutes qui m'a aboyé dessus (alors que je téléphonais de façon très cordiale) et me coupait sans arrêt avec un ton très agressif simplement car j'avais fait un virement qui n'était jamais arrivé et je voulais savoir s'il était possible de le tracer."	1	fr	Keytrade, c'était bien... avant !
Très bonne banque, aucun soucis. 	5	fr	Très bonne banque
Waar  is  mijn geld nu ?tot mijn verbazing is MIJN EIGEN GELD van mijn rekeningnummer verdwenen nog 2960 euro na dat MIJN EIGEN GELD een maand geblokkeerd is?alleen met een mail ´´´naar de rechtmatige eigenaar??????´´,,ik kan ook niet meer op de applicatie van de KEYTRADE BANK ´........na vele malen gemaild en gebeld te hebben met de nodige informatie van wie ?van wat ?en waarom ik eerlijk dat geld ontvangen heb???ongelooflijk maar waar!!!!	1	nl	Waar  is  mijn geld nu ?tot mijn…
"Dans l'ensemble, très bonne banque secondaire (pour mon profil en tout cas). Au vu des réponses apportées, il semble que des évolutions sur l'application deviennent effectives, notamment Apple Pay/Google Pay (confirmé par l'interview de leur CEO), les virements instantanés (puisqu'il s'agit d'une obligation induite par la directive PSD2) et, je l'espère, l'intégration de Wero qui serait un complément indéniable aux deux éléments précités. Toutefois, recevoir des notifications des paiements entrants et sortants serait bien nécessaire (en lieu et place de l'e-mail m'annonçant une transaction). La partie ""paramètres"" de l'espace client est vieillotte mais je présume qu'elle évoluera. Bref, on revient de loin mais ça progresse bien !"	3	fr	Dans l'ensemble, très bonne banque secondaire
"Un désastre, ma fille essaie d'ouvrir un compte épargne depuis le 10 janvier et malgré que son dossier est complet, aucune réponse concrète.
De plus comme elle voyage souvent cela complique encore les choses car non seulement il est difficile de joindre le helpdesk mais il refuse de vous donner tout simplement l'état de l'avancement du dossier sous prétexte que je suis son père et qu'elle a 18 ans.
jusqu'ou va le ridicule! Je pense qu'avec un peu de bon sens, donner l'état d'avancement ne donne aucune donnée personnel ou importante qui pourrait lui causer préjudice, mais bon cela prouve une fois de plus l'efficacité des calls center. Rien ne vaut un contact physique pour un service de qualité! Bien sur que les taux sont différents mais a choisir!
Je pense donc que je vais tout simplement conseiller a ma fille de ce diriger vers une autre banque moins rentable mais plus sérieuse."	1	fr	Un désastre
"Zeer slechte service.
De wachtijden aan de telefoon zijn al weken erg lang. Dat terzijde :
helpdesk 1 zgt : u zult een nieuwe smartphone moeten kopen, want het zal niet werken op uw motorola.
helpdesk 2 : heel lang geduld : app werkt.

Rekening op beider namen. 
Beide verantwoordelijk.
Blijkt dat slechts 1 partner een visa kan krijgen, want die heeft loonbrieven.
Geen loonbrief, geen visa.
Ookal staat er genoeg (evenveel als van de ander! ) op de rekening.

Bijzondere discriminatie van de vrouw aan de haard.
Alhoewel zij de  huizen koopt en verkoopt, de studiefinancieringen regelt, goed spaart : de partner wil NIETS met financien te maken hebben.

Tot zover het Keytrade expiriment : mislukt !

(en ja een kaart op eigen naam is nodig voor als je bijv. een vliegticket koopt  !)"	1	nl	Zeer slechte service.
"Wij waren na al het lezen van de reklame over Kenytrade heel enthousiast.
Nu blijkt, dat je als thuiswerkende partner , niet eens een visa kan krijgen , ookal heb je saldo genoeg, omdat je zelf geen loonbrieven hebt.
Ik voel me zeer zeer zwaar gediscrimineerd, omdat ik al zolang wij samen zijn, (van 1995) ALLES regel met financien, tot huizen verkopen en kopen toe !
Keytrade bank ?
Discrimineert vrouwen aan de haard !!!"	1	nl	ONVOORSTELBAAR disciminerend
"Voor de zoveelste keer vertoont mijn rekening NUL euro??????????

Update 1: EN NU ANTWOORDEN JULLIE MET DE VRAAG OM MEER INFO?????
ER STAAT EEN PAAR TIENDUIZENDE EURO'S OP MIJN REKENING EN REGELMATIG ALS IK INLOG VERTOONT MIJN REKENING 0 =NUL.
ik heb dit al verschillende malen aangekaart maar nooit enig zinnig antwoord ontvangen¡
Update 2: wie ik ben is niet belangrijk !!!!!! Zo blijven jullie zich schijnlijk te verantwoorden. Is maar zeer zwak van Uwentwege !!!!!
"	1	nl	Voor de zoveelste keer vertoont mijn…
"Client depuis 12 ans (autant banque que emprunt hypothécaire) et clairement le meilleur rapport qualité/prix en Belgique.
Certes toutes les fonctionnalités ne sont pas dispo mais c’est une banque qui vous paie pour être client chez eux, sans aucun coût caché.
Et la où les autres augmentent leur prix tous les quelques mois, tout reste bien 100% gratuit chez Keytrade."	5	fr	Client depuis 12 ans et content
